cost,output,lprice,cprice,fprice
.1304,4,6009.7002,92.650002,33.199001
.213,8,6869.4702,64.945,18
.4887,14,5438.8901,86.110001,34.150002
.61589998,50,9204.2402,90.470001,32.07
.72930002,60,7972.71,75.463997,33.707001
.76059997,65,8971.8896,41.243,28.539
.63630003,67,6696.5,58.257999,25.4
1.1474,90,7189.6699,79.100998,21.503
1.7704999,153,10963.9,57.612,46.16
1.3422,183,5063.4902,74.43,35.509998
2.2367001,198,7046.5,64.945,38
2.5592999,243,7000.8101,81.75,33.436001
2.2586999,295,8218.4004,71.940002,39.200001
2.0532,374,7884.9399,82.485001,26.301399
3.1503999,378,7895.4302,60.277,42.4683
4.5050001,467,8410.3398,76.300003,26.85
2.0358,617,9547.7197,81.75,18.49
3.7255001,643,7332.1299,64.505997,21.1619
6.6213999,856,8033.7202,67.68,39.5812
3.0427001,869,8372.96,68.226997,21.066999
5.5970998,938,7703.2598,77.196999,25.4
5.8488002,1025,7093.3198,68.226997,22.279301
8.6372004,1090,8507.9199,39.126999,33.900002
7.4394999,1293,6821.0898,78.224998,21.4305
6.0064998,1328,6680.77,51.817001,25.231899
7.6236,1340,6438.4199,79.220001,38.1483
9.4059,1412,7960.8999,40.692001,41.529999
6.6220999,1500,7588.7002,82.839996,21.3951
9.7842999,1627,8355.75,76.139999,31.3374
8.6851997,1627,7912.3999,79.220001,31.680099
10.3136,1886,6833.9302,67.68,25.6
14.271,1901,9822.6396,69.411003,36
11.1091,1961,6964.8101,82.485001,28.263399
14.0431,2001,8611.5303,74.025002,30.6446
18.896299,2020,10806.2,79.57,46.900002
9.4673996,2233,6717.1802,59.957001,22.6933
11.2419,2258,6892.6099,81.096001,29.1
14.9529,2325,8568.2305,53.889999,38.9161
13.627,2437,7846.0601,65.565002,30.6712
13.2679,2445,8764.75,76.139999,28.364799
16.176399,2487,8088.4502,66.622002,32.618599
10.9665,2506,7412.3599,57.240002,27.4207
13.8262,2582,8334.8896,77.530998,34.181099
12.783,2632,8469.8398,70.294998,30.971001
19.7092,2682,9484.8496,81.75,50.451599
9.6429005,2689,6364.3999,78.440002,23.488899
17.289499,2763,8058.9102,80.660004,45.663601
10.1902,2764,6338,66.232002,21.197001
16.170401,2863,7509.3701,81.550003,30.2374
7.5492001,2969,8183.3398,80.656998,9
24.397499,3490,8477.2305,75.419998,38
22.561199,3571,7297.71,78.254997,41.5951
21.558701,3886,9538.6797,63.569,30.8894
20.8671,3965,8403.5898,74.480003,33.1992
21.545401,3981,8186.0498,75.082001,35.204899
17.4802,4148,7536.8901,74.025002,24.5837
29.8011,4187,7996.4399,74.120003,47.425701
19.4391,4560,8558.3701,76.463997,23.7777
27.244301,4568,9619.7598,76.139999,35.664501
30.206699,5286,7084.1001,73.324997,38.338402
29.487,5292,8176.3301,76.139999,22.8374
24.2903,5316,9759.8301,74.025002,27.837999
30.8773,5643,10182.5,61.040001,27.8498
22.442101,5648,8954.1201,78.440002,25.916
35.1091,5699,7988.48,80.370003,42.635101
25.4814,5702,6947.1099,78.224998,24.2596
33.973301,5708,10024.2,78.101997,42.166
19.900801,5785,7969.5498,71.910004,22.244801
37.066601,6754,10177.9,77.196999,25.6208
